country;region;adfert;chldmort;life;pop;urban;femlab;literacy;co2;gini;gdp
Afghanistan;3;118.6999969;203;47.40000153;29501834;21.91666603;0.385800004;;0.100000001;;20212720937
Albania;4;17.89999962;17;76.40000153;3174417;49.35000229;0.694800019;95.90000153;5.150000095;34.5;13098926534
Algeria;1;7.300000191;34.75;72.31666565;34172236;64.93333435;0.452199996;72.59999847;15;;1.89772E+11
Angola;5;171.1000061;170;49.66666794;17783300;56.25;0.838;70;2.25;;1.0392E+11
Antigua and Barbuda;2;55.5;13;72.16666412;86367;30.46666718;;99;18.29999924;;1272872137
Argentina;2;56.90000153;15.25;75.28333282;39543736;91.90000153;0.654399991;97.69999695;15.64999962;45.79999924;4.55453E+11
Armenia;3;35.70000076;24;73.68333435;3077700;64.1166687;0.799600005;99.5;5.300000191;30.89999962;11456794381
Australia;5;16.5;5.25;81.40000153;21325382;88.66666412;0.799400032;;66.19999695;;1.30703E+12
Austria;4;12.80000019;4.5;80.18333435;8320033;67.0166626;0.771399975;;31.90000153;;4.11195E+11
Azerbaijan;3;33.79999924;38.75;69.90000153;8884767;51.70000076;0.888999999;;15.39999962;33.70000076;59025316699
Bahrain;3;14.89999962;12;74.59999847;990950;88.5;0.381000012;91.40000153;102.6499939;;30779223484
Bangladesh;3;78.90000153;58;67.80000305;144683104;26.86666679;0.695200026;55.90000153;1;31;1.5663E+11
Barbados;2;42.59999847;11.5;76.30000305;271917;42.90000153;0.842999995;;16.64999962;;4533904774
Belarus;4;22.10000038;13;69.46666718;9707033;73.3999939;0.820800006;99.69999695;25;27.20000076;60731096387
Belgium;4;14.19999981;5;79.56666565;10567200;97.3500061;0.759000003;;38.15000153;;5.08104E+11
Belize;2;78.69999695;19.75;75.21666718;296200;51.20000076;0.567399979;;10.75;;1597679507
Benin;1;111.6999969;122.75;54.73333359;8237634;41;0.848200023;41.70000076;1.200000048;;8755259214
Bhutan;3;50.20000076;83.5;65.84999847;693933;32.81666565;0.715000033;52.79999924;2.25;;2067340394
Bolivia;2;78.19999695;57;65.53333282;9539767;65.3833313;0.752600014;90.69999695;4.150000095;57.29999924;25664047182
Bosnia and Herzegovina;4;16.39999962;15;75.15000153;3773933;47.15000153;0.8046;97.80000305;24.79999924;36.20000076;18295041850
Botswana;1;52.09999847;60.25;52.25;1941233;59.25;0.887000024;84.09999847;9.199999809;;16146162617
Brazil;2;75.59999847;23;72.31666565;190579936;85.3999939;0.723200023;89.80000305;6.850000381;53.90000153;2.33193E+12
Brunei Darussalam;3;25.10000038;7;77.53333282;381050;74.59999847;0.787400007;95.30000305;57.30000305;;13637697103
Bulgaria;4;42.79999924;11.5;72.78333282;7616200;70.81666565;0.798399985;98.30000305;22.59999847;45.29999924;54639046567
Burkina Faso;1;124.8000031;170.5;53.78333282;15308383;23.58333397;0.858399987;23.60000038;0.200000003;;11343810190
Burundi;1;18.60000038;168.5;48.86666489;7821783;10.25;1.034399986;66.59999847;0.100000001;33.29999924;2310810954
Cambodia;3;41.79999924;91.25;61.43333435;13747033;19.41666603;0.868399978;77.59999847;1.049999952;44.40000153;15903594934
Cameroon;1;127.8000031;155;50.11666489;18564118;56.36666489;0.653199971;;0.75;;30431210269
Canada;2;14;6;80.53333282;33151450;80.34999847;0.851000011;;62.44999695;;1.79637E+12
Central African Republic;1;106.5999985;173.5;45.93333435;4203917;38.46666718;0.8222;55.20000076;0.200000003;;1431687441
Chad;1;164.5;209;48.56666565;10509983;26.39999962;0.800599992;33.59999847;0.100000001;;13359255855
Chile;2;58.29999924;9;78.71666718;16711449;88.33333588;0.55400002;98.59999847;13.39999962;22.60000038;2.6479E+11
China;3;8.399999619;21.75;72.68333435;1324696064;44.81666565;0.847000003;94;16.29999924;41.5;8.9083E+12
Colombia;2;74.30000305;20.25;72.91667175;44674000;74.34999847;0.513199985;92.92500305;4.949999809;58.5;3.5912E+11
Comoros;1;58;105.75;59.78333282;688300;28;0.855399966;74.19999695;0.400000006;;598210181.1
Costa Rica;2;65.59999847;11.25;78.8833313;4485933;63.09999847;0.551400006;96.09999847;6.349999905;50.29999924;45226294453
Croatia;4;13.5;6;75.96666718;4422400;57.06666565;0.759599984;98.80000305;19.04999924;33.70000076;58234287850
Cyprus;3;6.599999905;4.25;78.98332977;1069167;69.8666687;0.760200024;97.90000153;33.34999847;;23384744860
Czech Republic;4;11.10000038;4;76.94999695;10350500;73.5;0.729600012;;41.29999924;;2.23836E+11
Denmark;4;6;4.5;78.25;5483900;86.40000153;0.852599978;;34.05000305;;3.41014E+11
Djibouti;1;22.89999962;96;56.59999847;848000;76.09999847;0.763599992;;2.200000048;;1465243952
Dominica;2;20;10.75;77.15000153;68317;67.05000305;;;6.25;;502716709.1
Dominican Republic;2;108.6999969;33.25;72.58332825;9597283;67.44999695;0.622200012;;7.75;48.40000153;68989328535
Ecuador;2;82.80000305;25.75;75.09999847;13949800;65.30000305;0.592199981;84.19999695;8.649999619;49;86639458058
Egypt, Arab Rep.;1;46.59999847;24.75;72.33333588;77645648;43.18333435;0.309199989;68.90000153;8.449999809;32.09999847;2.49952E+11
El Salvador;2;82.69999695;19.25;71.43333435;6118150;62.98333359;0.592400014;83.90000153;3.5;46.90000153;23570305770
Equatorial Guinea;1;122.9000015;149.5;50.06666565;653533;39.26666641;0.414000005;93.30000305;32.55000305;;16268364191
Estonia;4;22.70000076;6.25;73.73332977;1342933;69.43333435;0.8028;99.80000305;48.84999847;;23140294964
Ethiopia;1;72.40000153;112;57.04999924;78593232;16.28333282;0.870000005;29.79999924;0.300000012;29.79999924;48667131306
Fiji;5;45.20000076;18;68.78333282;840417;50.90000153;0.495400012;;7.25;;3880405939
Finland;4;9.300000191;3.5;79.30000305;5303817;84.40000153;0.876399994;;42.40000153;;2.47739E+11
France;4;7.199999809;4.25;80.8833313;61908300;83.5;0.810400009;;23.29999924;;2.77754E+12
Gabon;1;89.90000153;72.5;61.15000153;1437467;84.8833313;0.840399981;87.69999695;5.550000191;41.5;18526405266
Gambia, The;1;76.59999847;108.25;57.3666687;1614767;56.04999924;0.826399982;46.5;0.699999988;;1067687903
Georgia;3;44.70000076;30.25;73.1333313;4409267;52.59999847;0.752799988;99.69999695;4.25;41.29999924;14768853640
Germany;4;7.900000095;4.5;79.80000305;82462720;73.56666565;0.783599973;;35.70000076;;3.69661E+12
Ghana;1;71.09999847;75.25;62.51666641;23000534;49.6333313;0.976999998;66.59999847;1.350000024;42.79999924;46504253396
Greece;4;11.60000038;4;79.55000305;11272633;60.85000229;0.657999992;97.19999695;32.25;;2.44314E+11
Grenada;2;42.40000153;15.25;75.3666687;103567;38.31666565;;;8.299999237;;896385144.7
Guatemala;2;107.1999969;41.5;70.31666565;13537367;48.31666565;0.537;74.5;3.349999905;53.70000076;49879411881
Guinea;1;157.3999939;149.5;52.41666794;9486467;34.16666794;0.88499999;39.5;0.550000012;39.40000153;5258999828
Guinea-Bissau;1;111.0999985;197.5;46.8666687;1440083;29.76666641;0.711400032;52.20000076;0.600000024;;984488983.7
Guyana;2;68.30000305;37;68.53333282;750617;28.41666603;0.553799987;;7.449999809;;2814753786
Haiti;2;46.40000153;91.5;60.8833313;9671434;48.16666412;0.699999988;48.70000076;0.699999988;;7798329610
Honduras;2;93.09999847;31.75;72.09999847;7234817;50.09999847;0.49180001;;4;57.70000076;18802867990
Hungary;4;16.5;7;73.69999695;10033583;67.18333435;0.730399966;99.40000153;21.20000076;31.20000076;1.42909E+11
Iceland;4;14.60000038;3;81.33333588;308283;93.15000153;0.871599972;;27.15000153;;15157963467
India;3;86.30000305;70.5;64.19999695;1182378496;29.33333397;0.40260002;62.79999924;4.699999809;36.79999924;2.30137E+12
Indonesia;3;45.09999847;42;67.96666718;233653344;43.65000153;0.600400031;92.09999847;5.350000381;36.79999924;9.88128E+11
Iran, Islamic Rep.;3;29.5;33.5;72.03333282;71858264;69.19999695;0.429800004;83.2333374;23.70000076;38.29999924;4.56944E+11
Iraq;3;98;44.25;68.09999847;29446400;66.5166626;0.194200009;78.09999847;11.75;;1.90895E+11
Ireland;4;17.5;4.5;79.59999847;4318450;61.18333435;0.731599987;;38.54999924;;3.02985E+11
Israel;3;14;5;80.7333374;7008584;91.7666626;0.820599973;;36.40000153;;2.77532E+11
Italy;4;6.699999809;4;81.33333588;59656584;67.96666718;0.624599993;98.90000153;29.5;;2.05949E+12
Jamaica;2;77.30000305;31;72.21666718;2713200;52;0.759000003;86.40000153;15.19999981;;13631636809
Japan;3;5;3.5;82.7666626;126500896;66.3666687;0.662800014;;37.19999695;;5.98614E+12
Jordan;3;26.5;26;72.93333435;5761050;78.40000153;0.305799991;91.09999847;13.70000076;37.70000076;30206410880
Kazakhstan;3;30;31.5;65.8833313;15580500;57.75;0.864199996;99.69999695;44.5;30.89999962;1.8626E+11
Kenya;1;100.1999969;87.75;54.81666565;38011832;21.45000076;0.862599969;87;1.150000095;47.70000076;52333904250
Kiribati;5;22.20000076;49.25;67.1333313;95750;43.70000076;;;1.049999952;;181627864.4
Korea, Rep.;3;2.299999952;5.25;79.78333282;47615448;82.16666412;0.689199984;;36.29999924;;1.26878E+12
Kuwait;3;13.80000019;10.25;74.16666412;2499100;98.33333588;0.541400015;93.5;118.1999969;;1.39682E+11
Kyrgyz Republic;3;34.09999847;39.25;66.8833313;5179084;34.76666641;0.700599968;99.19999695;3.900000095;33.40000153;6082952726
Latvia;4;18;9.25;72.3666687;2277500;67.8666687;0.776799977;99.80000305;11.64999962;35.70000076;28295132553
Lebanon;3;16.20000076;14;72;4146050;86.91666412;0.307599992;;14.94999981;;41221372226
Lesotho;1;73.5;98.25;45.84999847;2117567;25.06666565;0.898999989;89.69999695;;;2983135669
Liberia;1;142.6000061;125.5;54.23333359;3576984;46.91666794;0.874599993;59.09999847;0.800000012;52.59999847;1653502630
Lithuania;4;19.70000076;7.25;71.6333313;3369517;66.81666565;0.813600004;99.69999695;15.14999962;37.59999847;44566671973
Luxembourg;4;10.10000038;3.25;79.33333588;481717;84.55000305;0.735000014;;90.44999695;;62113789221
Macedonia, FYR;4;22;12;74.2333374;2049833;59.14999771;0.646799982;97.09999847;19.95000076;44.20000076;10614404462
Madagascar;1;134.3000031;64.5;65.4833374;19279600;29.31666565;0.94660002;64.5;0.550000012;47.20000076;9934660186
Malawi;1;119.1999969;120.25;51.31666565;13825916;18.54999924;0.951999962;73.69999695;0.300000012;;8499102659
Malaysia;3;14.19999981;6.75;73.41666412;27265000;69.96666718;0.554400027;92.5;26.29999924;46.20000076;3.29953E+11
Maldives;3;12.19999981;17.5;75.51667023;305550;36.95000076;0.717400014;98.40000153;9.5;;2954819941
Mali;1;186.3000031;196;50;14254967;33.93333435;0.548999965;26.20000076;0.200000003;39;12686032241
Malta;4;17.29999924;7;78.84999847;413100;94.18333435;0.467599988;92.40000153;23.35000038;;11055576678
Mauritania;1;79.19999695;118;57.70000076;3253767;40.8666687;0.716800034;57.5;2;;5464854373
Mauritius;1;35.40000153;16.25;72.8666687;1278950;41.98333359;0.542600036;87.90000153;10.70000076;;11955531873
Mexico;2;70.59999847;18.5;76.16666412;109937248;77.05000305;0.522000015;92.40000153;15.14999962;51.70000076;1.21019E+12
Micronesia, Fed. Sts.;5;25.39999962;40;68.34999847;110250;22.48333359;;;;;291794183.2
Moldova;4;33.79999924;18;68.3666687;3660717;45.06666565;0.905399978;98.5;7.599999905;38;7038084252
Mongolia;3;20.79999924;33.75;67.18333435;2648517;60.75;0.862800002;97.5;12.89999962;36.5;11677573630
Montenegro;4;18.20000076;9.75;74.1333313;628817;61.59999847;;;;30;4529794704
Morocco;1;15.10000038;40.75;71.15000153;31168868;56.70000076;0.328999996;55.59999847;5.550000191;40.90000153;1.13222E+11
Mozambique;1;149.1999969;150.75;48.86666489;22075768;36.46666718;0.976999998;55.09999847;0.350000024;45.59999847;14307639106
Namibia;1;74.40000153;53.25;60.58333206;2180583;36.51666641;0.818400025;88.5;5;;14753072613
Nepal;3;103.4000015;54;67.19999695;28631150;17.25;0.778999984;59.09999847;0.400000006;;19660603639
Netherlands;4;5.099999905;4.75;80.06666565;16467100;81.58333588;0.799399972;;38.5;;8.68258E+11
New Zealand;5;30.89999962;6.25;80.08333588;4253334;86.1333313;0.811800003;;26.95000076;;1.66325E+11
Nicaragua;2;112.6999969;28.5;72.94999695;5602584;56.58333588;0.568000019;78;2.849999905;52.29999924;11432480383
Niger;1;207.1000061;171.75;53.03333282;14222333;16.85000038;0.43779999;28.70000076;0.25;34;7637893798
Nigeria;1;118.3000031;147;50.23333359;148948448;48;0.528199971;60.79999924;2.75;;4.64282E+11
Norway;4;9;3.75;80.3833313;4751700;78.46666718;0.87379998;;39.84999847;;4.65E+11
Oman;3;9.199999809;13.75;72.96666718;2602133;72.44999695;0.321999997;86.59999847;52.79999924;;71694781740
Pakistan;3;31.60000038;90.75;64.6166687;166022416;35.18333435;0.246800005;53.20000076;3.199999809;32.70000076;2.15894E+11
Panama;2;82.59999847;23.5;75.53333282;3378133;72.8666687;0.58920002;93.59999847;7;52.29999924;42241946753
Paraguay;2;72.30000305;24;71.78333282;6175384;60;0.647000015;;2.400000095;52;25380441837
Peru;2;54.70000076;24;73.18333435;28316050;75.9833374;0.756399989;88.30000305;5.050000191;48;1.86252E+11
Philippines;3;54.09999847;34;67.91666412;89408720;48.45000076;0.618399978;95.40000153;3.099999905;44;2.66055E+11
Poland;4;14.80000019;7.25;75.55000305;38211584;61.18333435;0.749000013;99.5;29.85000038;34.20000076;5.56181E+11
Portugal;4;16.79999924;4.25;78.6333313;10616116;59.16666794;0.805400014;94.90000153;21.79999924;;2.27542E+11
Qatar;3;16.20000076;11.5;77.83333588;1288367;95.6333313;0.515600026;94.34999847;210.6499939;41.09999847;1.66951E+11
Romania;4;32;14.5;73.1166687;21622482;56.04999924;0.758400023;97.69999695;16.20000076;31.20000076;1.89517E+11
Russian Federation;4;30;14.25;67.3999939;143305536;73.0166626;0.820599973;99.59999847;39.34999847;42.29999924;1.63164E+12
Rwanda;1;38.70000076;122.5;53.84999847;9882167;18.18333244;1.015599966;70.69999695;0.300000012;53.09999847;8309817722
Samoa;5;28.29999924;26.75;71.53333282;181600;20.66666794;0.500999987;98.80000305;3.099999905;;688834700.5
Saudi Arabia;3;11.60000038;21.25;73.1333313;25794750;81.53333282;0.256200016;86.09999847;57.45000076;;6.7873E+11
Senegal;1;105.9000015;97.5;58.18333435;11640634;41.71666718;0.724399984;45.80000305;1.5;39.20000076;15800484321
Serbia;4;22.10000038;8;74;9845667;55.23333359;;97.80000305;;28.20000076;40183938020
Seychelles;1;51.29999924;12.75;72.98332977;85167;54.06666565;;91.80000305;30.79999924;19;1265101403
Sierra Leone;1;143.6999969;202.5;46;5529667;37.56666565;0.976000011;40.90000153;0.649999976;;3170003041
Singapore;3;4.800000191;3;80.55000305;4677517;100;0.702600002;94.69999695;48.75;;2.89174E+11
Slovenia;4;5;3.5;78.48332977;2015533;49.81666565;0.806999981;99.69999695;27.59999847;;49070512163
Solomon Islands;5;70.30000305;36;66.5;503617;17.76666641;0.485799998;;1.399999976;;861006850.2
South Africa;1;59.20000076;68.75;51.43333435;49028316;60.48333359;0.74059999;;31.39999962;;4.18388E+11
Spain;4;12.69999981;4.25;80.56666565;44813184;77.03333282;0.702600002;97.69999695;29.75;;1.41486E+12
Sri Lanka;3;23.60000038;15.75;74.40000153;20363284;14.46666718;0.464399993;90.69999695;2.25;40.29999924;76362509895
Sudan;1;61.90000153;109.5;60.34999847;40933000;38.28333282;0.411599994;70.19999695;1.100000024;;72731117404
Suriname;2;39.5;28.25;69.55000305;512317;68.28333282;0.567000031;94.59999847;19.45000076;;4772817086
Swaziland;1;83.90000153;85.75;47.1166687;1143367;21.60000038;0.689999998;86.90000153;3.299999952;;5372611857
Sweden;4;6;3.25;80.8833313;9201517;84.4833374;0.874800026;;20.75;;5.40557E+11
Switzerland;4;4.599999905;4.75;81.78333282;7543950;73.43333435;0.803200006;;20.5;;6.25924E+11
Tajikistan;3;28.39999962;66.5;66.34999847;6655934;26.31666565;0.722000003;99.69999695;3.349999905;29.39999962;7912816345
Tanzania;1;130.3999939;114.5;55.40000153;41742736;25.26666641;0.954400003;72.90000153;0.5;37.59999847;43728244107
Thailand;3;43.29999924;14.75;73.58333588;67977952;33.09999847;0.811399996;93.5;15.80000019;53.59999847;3.93677E+11
Timor-Leste;3;65.80000305;63.75;60.84999847;1068967;27.10000038;0.712400019;;0.600000024;31.89999962;1224482000
Togo;1;65.30000305;102.5;55.8666687;5716200;41.65000153;0.73180002;56.90000153;0.75;34.40000153;4045715351
Tonga;5;22.29999924;19.25;71.83333588;102550;23.26666641;0.715000033;99;4.850000381;;392854758.9
Tunisia;1;5.699999809;21.75;73.91666412;10192267;66.30000305;0.35679999;77.59999847;8.300000191;;48076708118
Turkey;3;39.20000076;23.5;72.96666718;70453616;68.46666718;0.347200006;89.03333282;12.94999981;39.70000076;1.08755E+12
Turkmenistan;3;19.5;49.5;64.6166687;4891417;48.3833313;0.834800005;99.59999847;32.34999847;;37253652748
Uganda;1;149.8999939;132.5;52.04999924;30878900;12.89999962;0.86500001;71.40000153;0.300000012;44.29999924;26249635389
Ukraine;4;30.79999924;16;67.73332977;46158800;68.16667175;0.79400003;99.69999695;25.35000038;27.5;1.21203E+11
United Arab Emirates;3;26.70000076;8;75.93333435;5799100;83.18333435;0.444799989;90;120.8499985;;3.67633E+11
United Kingdom;4;29.60000038;6;79.55000305;61099184;79.31666565;0.791599989;;34.09999847;;2.68226E+12
United States;2;41.20000076;8;77.98332977;303621504;81.55000305;0.809599996;;70.55000305;;1.65974E+13
Uruguay;2;61.09999847;14;76.34999847;3342950;92.21666718;0.699999988;98.09999847;7.099999905;42.40000153;47559277174
Uzbekistan;3;13.80000019;40.25;67.55000305;26674950;36.40000153;0.822400033;99.30000305;15.60000038;;57949061364
Vanuatu;5;54;17.75;69.96666718;225317;24.5;0.898800015;82;1.5;;747161562.6
Yemen, Rep.;3;78.80000305;72.25;63.91666412;22315166;30.35000038;0.261999995;62.40000153;3.599999905;37.70000076;20780222150
Zambia;1;146.8000031;147.75;46.59999847;12243300;35.31666565;0.762799978;70.90000153;0.800000012;;26058118447
